Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
5,0.047655,0.408257,0.490856,0.325659,0.913424,0.417767,0.053727,0.442466,0.523731,0.361201,0.932860,0.446147
10,0.089672,0.551123,0.662858,0.439387,0.865490,0.642481,0.138411,0.596078,0.698478,0.493677,0.873491,0.668079
15,0.135904,0.580798,0.693519,0.468077,0.816792,0.701663,0.139962,0.632428,0.738701,0.526156,0.851847,0.731286
20,0.168052,0.623098,0.731701,0.514495,0.855247,0.734778,0.218437,0.701566,0.789631,0.613501,0.886562,0.773037
25,0.183976,0.601026,0.706135,0.495916,0.762549,0.761986,0.222704,0.718371,0.801578,0.635164,0.860940,0.800542
30,0.189315,0.640191,0.737376,0.543006,0.819034,0.750912,0.237693,0.755794,0.820520,0.691069,0.921733,0.776203
35,0.183118,0.567144,0.657369,0.476919,0.731023,0.738026,0.262342,0.753960,0.813525,0.694394,0.918075,0.769202
40,0.173436,0.599401,0.696908,0.501894,0.767534,0.743152,0.253227,0.768298,0.821280,0.715316,0.932869,0.773075
45,0.172241,0.602199,0.685185,0.519213,0.770621,0.746918,0.288305,0.777293,0.819265,0.735320,0.956965,0.745650
50,0.180357,0.607686,0.685109,0.530263,0.767920,0.724188,0.301522,0.787452,0.818468,0.756435,0.957333,0.747129
55,0.190009,0.598533,0.673104,0.523963,0.748419,0.722056,0.316936,0.789158,0.821636,0.756680,0.945697,0.758534
60,0.182237,0.585536,0.659444,0.511628,0.726828,0.723014,0.330077,0.790506,0.822214,0.758797,0.943001,0.760612
65,0.173403,0.578476,0.645276,0.511676,0.710540,0.724233,0.330226,0.789622,0.818152,0.761091,0.935838,0.764295
70,0.169679,0.572534,0.643477,0.501593,0.705474,0.730482,0.331989,0.790436,0.820153,0.760720,0.934956,0.763303
75,0.172669,0.574370,0.643996,0.504742,0.706042,0.720412,0.327159,0.789799,0.819907,0.759689,0.935026,0.762950
80,0.167364,0.573252,0.640372,0.506130,0.705171,0.728802,0.336542,0.790483,0.819851,0.761114,0.935134,0.762938
