Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
10,0.207295,0.436792,0.516673,0.356910,0.915175,0.416034,0.244238,0.475677,0.533301,0.418053,0.910036,0.436399
20,0.356728,0.526701,0.598598,0.454804,0.908651,0.503018,0.534609,0.614680,0.651962,0.577399,0.926872,0.542158
30,0.414218,0.515143,0.586860,0.443426,0.779216,0.556145,0.591142,0.611955,0.642231,0.581679,0.861228,0.566012
40,0.442431,0.526977,0.597396,0.456558,0.783768,0.565784,0.727635,0.680281,0.701713,0.658849,0.881484,0.621302
50,0.483334,0.518984,0.579238,0.458730,0.761637,0.568178,0.733292,0.689757,0.709878,0.669635,0.865388,0.648291
60,0.536397,0.547567,0.598785,0.496349,0.759772,0.589331,0.803539,0.716255,0.723062,0.709448,0.895579,0.643892
70,0.556480,0.567362,0.607996,0.526728,0.803883,0.568472,0.828588,0.744185,0.739384,0.748987,0.921968,0.649427
80,0.562679,0.565404,0.606298,0.524509,0.802677,0.573180,0.830380,0.753623,0.752076,0.755170,0.917001,0.665895
90,0.561171,0.569576,0.609734,0.529417,0.812668,0.566646,0.832416,0.755195,0.752539,0.757850,0.922635,0.663751
100,0.567953,0.567526,0.603378,0.531673,0.807370,0.566735,0.832916,0.758302,0.755162,0.761443,0.920083,0.668677
110,0.568038,0.568499,0.605710,0.531288,0.803405,0.570424,0.832511,0.758618,0.755950,0.761287,0.919933,0.669818
120,0.568195,0.569212,0.604995,0.533430,0.804454,0.568868,0.833087,0.759431,0.756719,0.762143,0.919977,0.670859
130,0.566666,0.569248,0.606910,0.531585,0.806041,0.571352,0.833268,0.758172,0.754188,0.762155,0.920182,0.667769
140,0.566317,0.568856,0.607621,0.530091,0.807550,0.569545,0.833400,0.759690,0.756938,0.762442,0.920143,0.670675
150,0.568070,0.566970,0.605052,0.528889,0.806658,0.568188,0.832959,0.758430,0.753993,0.762866,0.918924,0.668088
160,0.568571,0.565918,0.605335,0.526501,0.808699,0.568100,0.832624,0.758671,0.754615,0.762728,0.919154,0.667884
