Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
5,0.056973,0.383925,0.494060,0.273790,0.883409,0.431439,0.070482,0.408134,0.519800,0.296467,0.881307,0.460090
10,0.122942,0.490560,0.611493,0.369626,0.803120,0.612874,0.191404,0.536542,0.652531,0.420554,0.810189,0.647044
15,0.183091,0.527489,0.658973,0.396004,0.769415,0.684284,0.251342,0.571267,0.696832,0.445702,0.793640,0.713362
20,0.261700,0.549193,0.673130,0.425256,0.767446,0.710882,0.377828,0.637569,0.738146,0.536992,0.827075,0.743549
25,0.299943,0.532298,0.648326,0.416270,0.680939,0.754011,0.425929,0.658865,0.761524,0.556206,0.800937,0.787444
30,0.303771,0.563166,0.674766,0.451566,0.743829,0.710878,0.488023,0.688704,0.775705,0.601702,0.875878,0.745012
35,0.304910,0.487640,0.586852,0.388428,0.654078,0.703442,0.533747,0.686380,0.758708,0.614051,0.870394,0.724160
40,0.311555,0.525126,0.633636,0.416616,0.708880,0.689359,0.552952,0.698189,0.762924,0.633454,0.888880,0.717345
45,0.320009,0.523666,0.621849,0.425482,0.688337,0.713103,0.594206,0.708493,0.764488,0.652498,0.918068,0.696418
50,0.367781,0.517862,0.609126,0.426597,0.688222,0.673480,0.613280,0.718075,0.754641,0.681508,0.921369,0.687748
55,0.354470,0.507321,0.594845,0.419796,0.664248,0.696932,0.635991,0.721387,0.753826,0.688948,0.907743,0.692963
60,0.358596,0.506318,0.582749,0.429888,0.646915,0.691755,0.644461,0.723989,0.751474,0.696504,0.906720,0.688648
65,0.358214,0.504619,0.588456,0.420781,0.631258,0.718206,0.649641,0.726475,0.752983,0.699967,0.902777,0.696016
70,0.346540,0.507213,0.590083,0.424344,0.635520,0.715643,0.649919,0.725708,0.754663,0.696754,0.898096,0.697003
75,0.357118,0.499692,0.576157,0.423226,0.630878,0.694013,0.646936,0.725296,0.754190,0.696401,0.900071,0.695498
80,0.363244,0.503998,0.588071,0.419925,0.632617,0.714307,0.649711,0.726072,0.754626,0.697518,0.898261,0.696770
