Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
10,0.145863,0.432465,0.515992,0.348938,0.865484,0.446072,0.167943,0.465157,0.523754,0.406560,0.869975,0.453722
20,0.231181,0.517978,0.589257,0.446698,0.862602,0.526248,0.329802,0.638137,0.684052,0.592222,0.909039,0.587693
30,0.281853,0.517166,0.589151,0.445180,0.733886,0.600134,0.396140,0.641122,0.689165,0.593078,0.843691,0.634232
40,0.282659,0.549313,0.616091,0.482535,0.744901,0.632365,0.467520,0.717408,0.757462,0.677353,0.879122,0.695974
50,0.360260,0.547642,0.619874,0.475409,0.738810,0.637592,0.497557,0.732324,0.774212,0.690436,0.870000,0.736280
60,0.378782,0.567944,0.633780,0.502107,0.758697,0.658916,0.566331,0.761271,0.792617,0.729926,0.906818,0.727756
70,0.392068,0.593214,0.649326,0.537101,0.785244,0.652574,0.583598,0.791371,0.815184,0.767558,0.930150,0.738413
80,0.389465,0.589702,0.647359,0.532044,0.777514,0.650473,0.594195,0.796224,0.820479,0.771970,0.927254,0.748688
90,0.401979,0.590351,0.646109,0.534594,0.782399,0.655786,0.600498,0.796633,0.820386,0.772882,0.932679,0.743837
100,0.397461,0.592389,0.648270,0.536508,0.778252,0.660736,0.600854,0.799024,0.822310,0.775738,0.928848,0.748908
110,0.398337,0.594783,0.650518,0.539048,0.781489,0.660755,0.599555,0.799330,0.822689,0.775973,0.928514,0.749580
120,0.393341,0.593660,0.649089,0.538232,0.782262,0.659643,0.598568,0.800170,0.823502,0.776838,0.928620,0.750941
130,0.396404,0.593781,0.648410,0.539152,0.780012,0.660448,0.601131,0.801648,0.826402,0.776895,0.929121,0.753247
140,0.397129,0.594416,0.649608,0.539225,0.783080,0.659012,0.600299,0.801587,0.826229,0.776946,0.929957,0.752370
150,0.396376,0.593408,0.649714,0.537102,0.785977,0.657563,0.601509,0.801435,0.826058,0.776812,0.929286,0.752724
160,0.397817,0.596495,0.651126,0.541864,0.784078,0.659838,0.600724,0.801461,0.826042,0.776880,0.928768,0.753010
