Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
5,0.001669,0.050151,0.051957,0.048345,0.921780,0.039238,0.000696,0.061690,0.064629,0.058750,0.923954,0.047257
10,0.001862,0.100664,0.139717,0.061610,0.901020,0.098166,0.000554,0.098979,0.136012,0.061946,0.904573,0.096165
15,0.000119,0.102123,0.167786,0.036459,0.918483,0.111466,0.000537,0.115001,0.168194,0.061808,0.912953,0.112153
20,0.003072,0.095952,0.133176,0.058729,0.926456,0.089631,0.000571,0.107872,0.135096,0.080649,0.932766,0.089795
25,0.001324,0.093781,0.112303,0.075260,0.913226,0.080949,0.003894,0.098433,0.126778,0.070089,0.915123,0.086762
30,0.000345,0.108168,0.164468,0.051868,0.911175,0.110432,0.001558,0.116105,0.170842,0.061368,0.917415,0.115757
35,0.002873,0.094871,0.123344,0.066399,0.918233,0.086138,0.005111,0.097120,0.119383,0.074856,0.917266,0.081258
40,0.000317,0.071386,0.094829,0.047945,0.914651,0.064785,0.000634,0.091030,0.120307,0.061754,0.922356,0.081493
45,0.001343,0.106156,0.135920,0.076392,0.894015,0.096290,0.000532,0.108470,0.136451,0.080488,0.913813,0.098659
50,0.000848,0.114130,0.159028,0.069232,0.909869,0.106176,0.002078,0.089069,0.124786,0.053352,0.906092,0.089214
55,0.000300,0.073752,0.093320,0.054186,0.911700,0.063415,0.000288,0.067021,0.083012,0.051031,0.907168,0.060690
60,0.000552,0.100785,0.134020,0.067549,0.928470,0.088957,0.000418,0.092994,0.113332,0.072657,0.919494,0.078445
65,0.000454,0.089047,0.130074,0.048021,0.906473,0.087570,0.000245,0.082514,0.105054,0.059974,0.902133,0.074809
70,0.000761,0.104643,0.131642,0.077644,0.938685,0.086820,0.001237,0.090482,0.107257,0.073707,0.923730,0.074644
75,0.000670,0.105743,0.133871,0.077616,0.937581,0.087739,0.000889,0.090113,0.107018,0.073210,0.925531,0.074139
80,0.000410,0.095327,0.129102,0.061552,0.917550,0.086707,0.000634,0.088489,0.105675,0.071304,0.920533,0.073276
