Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
10,0.147245,0.447095,0.493598,0.400591,0.937826,0.390966,0.170559,0.483918,0.506398,0.461439,0.928584,0.407019
20,0.232497,0.547380,0.596380,0.498379,0.932264,0.495986,0.330866,0.632697,0.658553,0.606840,0.946968,0.543648
30,0.283600,0.544860,0.608442,0.481280,0.816902,0.559778,0.396086,0.641349,0.671616,0.611082,0.887865,0.589329
40,0.287714,0.575112,0.637718,0.512506,0.829049,0.582904,0.470642,0.717700,0.746749,0.688651,0.910636,0.659845
50,0.364649,0.567181,0.625663,0.508699,0.807466,0.599242,0.500975,0.730468,0.763878,0.697058,0.899623,0.697337
60,0.381191,0.585378,0.643792,0.526965,0.797173,0.629482,0.566008,0.759533,0.780903,0.738163,0.931688,0.693687
70,0.391920,0.607386,0.653057,0.561715,0.834945,0.615619,0.586404,0.782390,0.794697,0.770083,0.950626,0.699187
80,0.392837,0.605540,0.649824,0.561256,0.834200,0.615114,0.596534,0.787641,0.802133,0.773149,0.944394,0.712404
90,0.404303,0.613128,0.654082,0.572174,0.846709,0.609260,0.600060,0.788451,0.803022,0.773880,0.948514,0.710439
100,0.400113,0.609778,0.649840,0.569716,0.839986,0.613911,0.600854,0.791062,0.805530,0.776595,0.946407,0.715228
110,0.400897,0.611560,0.650796,0.572325,0.839074,0.614038,0.603616,0.791459,0.805983,0.776935,0.946014,0.715992
120,0.395605,0.610307,0.648677,0.571937,0.838775,0.612809,0.603060,0.792370,0.807099,0.777641,0.946202,0.717521
130,0.398683,0.611666,0.650653,0.572678,0.840136,0.615088,0.604694,0.791534,0.805349,0.777718,0.946435,0.714887
140,0.398760,0.611932,0.651388,0.572475,0.840886,0.614306,0.603830,0.791628,0.805485,0.777772,0.945711,0.715192
150,0.398705,0.608852,0.649462,0.568244,0.839632,0.613232,0.605037,0.791469,0.804888,0.778050,0.945331,0.714671
160,0.399957,0.609022,0.650732,0.567311,0.840759,0.614058,0.604291,0.791764,0.805424,0.778104,0.945703,0.715162
