Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
10,0.138136,0.303741,0.286165,0.321316,0.956500,0.203998,0.159590,0.317620,0.288147,0.347093,0.956593,0.205928
20,0.185404,0.315549,0.276201,0.354897,0.951813,0.194972,0.295044,0.339787,0.282329,0.397245,0.961057,0.195586
30,0.247444,0.326184,0.280308,0.372059,0.951878,0.196683,0.394560,0.369440,0.286626,0.452253,0.969418,0.194038
40,0.304552,0.346864,0.278164,0.415564,0.956081,0.192974,0.505791,0.394361,0.280140,0.508582,0.975570,0.185264
50,0.338099,0.355447,0.273974,0.436919,0.954962,0.188981,0.564415,0.406216,0.275192,0.537240,0.982065,0.179613
60,0.358555,0.360268,0.278110,0.442427,0.951116,0.192806,0.610829,0.423603,0.278448,0.568758,0.979534,0.182177
70,0.374418,0.363250,0.277736,0.448764,0.953192,0.192029,0.635010,0.432490,0.278777,0.586203,0.982576,0.181444
80,0.366188,0.361702,0.276140,0.447264,0.953140,0.190380,0.644201,0.439078,0.277818,0.600338,0.983130,0.180162
90,0.377625,0.364837,0.274317,0.455357,0.954516,0.188210,0.661875,0.439010,0.275749,0.602272,0.983074,0.178272
100,0.372822,0.358301,0.272758,0.443844,0.954119,0.187244,0.650289,0.438355,0.275044,0.601666,0.984002,0.177456
110,0.375880,0.360322,0.272348,0.448296,0.953227,0.187004,0.647815,0.439438,0.274901,0.603976,0.984405,0.177218
120,0.386977,0.362083,0.272136,0.452030,0.953106,0.186668,0.640760,0.439806,0.274730,0.604881,0.984356,0.176996
130,0.386212,0.361343,0.271780,0.450905,0.953176,0.186368,0.640840,0.440334,0.274386,0.606282,0.984307,0.176704
140,0.389200,0.361869,0.271093,0.452645,0.953756,0.185605,0.649478,0.439628,0.274212,0.605043,0.985137,0.176427
150,0.386514,0.362762,0.271418,0.454107,0.953680,0.185916,0.651601,0.440210,0.273858,0.606563,0.984709,0.176152
160,0.391586,0.362400,0.270934,0.453866,0.953087,0.185591,0.661390,0.440205,0.273682,0.606728,0.984552,0.176050
