Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
5,0.049996,0.412798,0.498248,0.327349,0.934030,0.421584,0.056843,0.440880,0.525264,0.356497,0.944696,0.441513
10,0.096293,0.544202,0.657812,0.430591,0.897142,0.608744,0.149855,0.584257,0.688862,0.479652,0.908606,0.634032
15,0.154635,0.583474,0.703334,0.463614,0.853182,0.683650,0.173047,0.622907,0.732276,0.513538,0.874409,0.709741
20,0.194887,0.615122,0.724306,0.505937,0.872850,0.707898,0.270513,0.685580,0.773799,0.597361,0.903734,0.738275
25,0.228829,0.599587,0.710018,0.489156,0.797167,0.741182,0.295809,0.701401,0.790286,0.612516,0.876246,0.775690
30,0.220233,0.641744,0.742291,0.541196,0.861791,0.735552,0.313101,0.739245,0.809136,0.669352,0.926486,0.759438
35,0.223646,0.580150,0.679389,0.480911,0.770697,0.727087,0.357368,0.732830,0.795292,0.670368,0.922534,0.746749
40,0.221224,0.606414,0.710548,0.502280,0.801878,0.731355,0.362941,0.745207,0.798632,0.691783,0.939642,0.735537
45,0.214643,0.611947,0.697219,0.526675,0.812009,0.720491,0.403910,0.747835,0.788866,0.706804,0.954514,0.710820
50,0.228003,0.625480,0.702430,0.548528,0.810350,0.704857,0.438132,0.753346,0.778448,0.728244,0.955808,0.696288
55,0.251254,0.602265,0.679232,0.525299,0.786058,0.701263,0.467892,0.752444,0.775006,0.729881,0.945081,0.698289
60,0.240766,0.597038,0.667472,0.526604,0.765305,0.693013,0.471251,0.753805,0.774112,0.733498,0.941143,0.702112
65,0.235058,0.591987,0.664692,0.519282,0.752700,0.697477,0.478260,0.754040,0.772922,0.735158,0.940544,0.704511
70,0.228720,0.586281,0.656823,0.515740,0.747063,0.704726,0.479936,0.753840,0.772438,0.735243,0.938426,0.701058
75,0.234204,0.589641,0.660235,0.519046,0.747603,0.697675,0.477691,0.753098,0.771558,0.734637,0.938546,0.700216
80,0.223473,0.589544,0.659688,0.519401,0.748644,0.706952,0.479745,0.753372,0.770928,0.735815,0.937525,0.699809
