Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
5,0.051800,0.268003,0.366876,0.169129,0.600635,0.443246,0.076902,0.337701,0.451852,0.223550,0.619988,0.528306
10,0.121710,0.462990,0.588341,0.337640,0.680289,0.676800,0.188606,0.510581,0.630640,0.390524,0.706561,0.691850
15,0.182548,0.486262,0.618040,0.354485,0.670064,0.723162,0.250924,0.547210,0.670194,0.424226,0.727998,0.736608
20,0.259166,0.515883,0.643690,0.388077,0.683285,0.736294,0.370877,0.598775,0.713002,0.484548,0.755518,0.758575
25,0.287101,0.451120,0.559203,0.343038,0.554118,0.772019,0.410294,0.586451,0.689158,0.483744,0.695352,0.780731
30,0.298381,0.501014,0.612100,0.389928,0.631176,0.747894,0.473178,0.647718,0.738190,0.557247,0.812996,0.734871
35,0.286311,0.435396,0.526373,0.344418,0.567998,0.735293,0.508247,0.647799,0.724459,0.571139,0.811184,0.720684
40,0.303476,0.468662,0.564195,0.373129,0.599231,0.740894,0.529045,0.672269,0.744690,0.599848,0.834989,0.732813
45,0.304908,0.457664,0.551668,0.363660,0.595362,0.728710,0.567545,0.668298,0.734247,0.602349,0.847968,0.700564
50,0.353585,0.475920,0.559438,0.392402,0.616123,0.705432,0.601390,0.689258,0.736615,0.641900,0.859917,0.698528
55,0.353505,0.469490,0.549076,0.389905,0.596772,0.726907,0.612920,0.693326,0.739502,0.647148,0.849435,0.712023
60,0.342696,0.470824,0.551188,0.390459,0.582779,0.750413,0.618128,0.699144,0.741852,0.656436,0.847912,0.718299
65,0.350660,0.463033,0.546007,0.380058,0.565631,0.759340,0.630828,0.702540,0.740908,0.664174,0.845550,0.718620
70,0.343374,0.466171,0.546516,0.385826,0.566568,0.758536,0.623608,0.702733,0.743692,0.661774,0.842862,0.719296
75,0.356219,0.463046,0.541925,0.384166,0.560753,0.758420,0.633685,0.703192,0.745086,0.661299,0.841879,0.722397
80,0.348935,0.464265,0.546361,0.382169,0.569019,0.754054,0.622079,0.703189,0.744160,0.662218,0.839873,0.723254
