Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
10,0.195867,0.368778,0.461819,0.275738,0.690519,0.503834,0.231717,0.426574,0.519122,0.334026,0.764794,0.497364
20,0.351509,0.469171,0.549636,0.388706,0.731790,0.543096,0.530664,0.609382,0.675871,0.542892,0.833109,0.616990
30,0.384543,0.458362,0.538762,0.377962,0.626557,0.647033,0.582253,0.611743,0.669650,0.553835,0.765525,0.666476
40,0.428593,0.492198,0.573899,0.410497,0.655236,0.655826,0.705305,0.691738,0.741426,0.642051,0.826961,0.716137
50,0.455949,0.497970,0.580229,0.415712,0.646160,0.665840,0.724681,0.702283,0.752014,0.652552,0.809275,0.754694
60,0.505357,0.524646,0.593818,0.455473,0.673111,0.649462,0.803536,0.734005,0.769885,0.698125,0.854175,0.738902
70,0.552268,0.561638,0.632547,0.490728,0.712084,0.684692,0.828411,0.773415,0.803759,0.743072,0.886144,0.758412
80,0.559016,0.556990,0.624695,0.489285,0.708930,0.673624,0.830485,0.781174,0.810492,0.751856,0.883795,0.769884
90,0.557407,0.562711,0.630472,0.494951,0.716933,0.675390,0.832416,0.784246,0.813189,0.755304,0.889612,0.769083
100,0.554537,0.560169,0.626130,0.494208,0.710842,0.673086,0.833007,0.786846,0.814758,0.758936,0.885548,0.774108
110,0.554381,0.559305,0.623406,0.495204,0.709026,0.672958,0.832678,0.787336,0.815850,0.758822,0.885748,0.775236
120,0.563631,0.560294,0.625183,0.495405,0.709425,0.674008,0.833086,0.787812,0.815546,0.760079,0.887252,0.774090
130,0.562457,0.562222,0.628954,0.495490,0.710534,0.674994,0.833373,0.788260,0.816418,0.760102,0.886087,0.776997
140,0.552868,0.561538,0.627855,0.495222,0.712504,0.673336,0.833400,0.789330,0.818342,0.760319,0.888284,0.777453
150,0.563444,0.562396,0.629667,0.495126,0.714188,0.674470,0.833045,0.788377,0.816348,0.760406,0.887327,0.775394
160,0.564269,0.563247,0.629530,0.496965,0.710950,0.672913,0.832625,0.789544,0.818814,0.760273,0.888079,0.778018
