Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
10,0.155438,0.447883,0.438052,0.457713,0.954946,0.338114,0.180797,0.474308,0.448592,0.500023,0.954351,0.342820
20,0.256140,0.527645,0.515186,0.540103,0.966454,0.401690,0.374552,0.581443,0.548999,0.613887,0.983045,0.419902
30,0.313280,0.541631,0.547245,0.536016,0.944237,0.434026,0.435423,0.603480,0.572508,0.634452,0.968004,0.446509
40,0.324117,0.589224,0.599979,0.578470,0.952191,0.488851,0.536651,0.660942,0.633658,0.688227,0.970022,0.510325
50,0.398361,0.573625,0.576212,0.571038,0.939190,0.472479,0.571939,0.676422,0.647894,0.704950,0.963696,0.526464
60,0.423519,0.605320,0.617663,0.592976,0.953633,0.506394,0.645104,0.700654,0.665994,0.735314,0.975212,0.538238
70,0.439182,0.616722,0.616432,0.617012,0.959536,0.504242,0.680214,0.715020,0.664432,0.765607,0.983081,0.532435
80,0.447951,0.619907,0.617889,0.621926,0.959097,0.504855,0.692517,0.721065,0.672178,0.769952,0.983800,0.540295
90,0.451408,0.616386,0.612990,0.619782,0.961344,0.499704,0.697171,0.720045,0.670162,0.769928,0.985908,0.536625
100,0.453506,0.616892,0.613347,0.620436,0.961022,0.500412,0.699060,0.722220,0.671290,0.773149,0.984973,0.538414
110,0.455510,0.620209,0.615012,0.625405,0.962864,0.500494,0.698804,0.722569,0.671159,0.773979,0.984735,0.538021
120,0.452650,0.619993,0.615313,0.624673,0.962520,0.501027,0.698693,0.722486,0.671193,0.773779,0.985070,0.537972
130,0.453086,0.618670,0.613259,0.624081,0.960334,0.499720,0.699300,0.722532,0.670864,0.774200,0.984437,0.538087
140,0.454462,0.616851,0.608652,0.625050,0.954338,0.499779,0.703353,0.722881,0.671104,0.774658,0.984887,0.537944
150,0.456573,0.617277,0.612918,0.621635,0.960180,0.499531,0.700071,0.722595,0.671090,0.774100,0.984953,0.537794
160,0.453134,0.616023,0.612634,0.619412,0.959995,0.499666,0.703526,0.722760,0.670950,0.774570,0.984714,0.537773
