Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
10,0.217220,0.398978,0.453600,0.344356,0.930796,0.357618,0.256276,0.429869,0.455442,0.404296,0.932278,0.353703
20,0.383997,0.497989,0.542141,0.453837,0.946055,0.436919,0.569562,0.567058,0.566127,0.567990,0.965002,0.448802
30,0.434701,0.489383,0.524441,0.454325,0.898887,0.442382,0.613477,0.567773,0.554081,0.581466,0.940694,0.443532
40,0.465871,0.530920,0.574778,0.487061,0.911839,0.480816,0.738512,0.625021,0.594478,0.655566,0.945152,0.482114
50,0.491174,0.504883,0.526805,0.482961,0.891166,0.440924,0.739481,0.623806,0.577994,0.669617,0.926777,0.472696
60,0.542919,0.545540,0.573402,0.517678,0.912794,0.479638,0.807943,0.653361,0.603071,0.703650,0.942058,0.485823
70,0.569363,0.557341,0.571862,0.542820,0.924100,0.476206,0.832961,0.670191,0.595702,0.744680,0.963606,0.471658
80,0.568027,0.556138,0.567788,0.544487,0.922970,0.473142,0.834017,0.673545,0.594884,0.752205,0.961766,0.470402
90,0.573273,0.556256,0.568421,0.544091,0.932308,0.470395,0.835617,0.673783,0.592833,0.754734,0.963041,0.468465
100,0.580138,0.561034,0.571728,0.550341,0.929696,0.475715,0.836149,0.675057,0.591157,0.758958,0.962955,0.466174
110,0.579632,0.560439,0.569207,0.551672,0.928252,0.472152,0.835740,0.674166,0.589573,0.758760,0.962432,0.464949
120,0.579614,0.559948,0.568084,0.551812,0.926393,0.472264,0.836137,0.674718,0.589614,0.759823,0.962038,0.464971
130,0.579655,0.558121,0.568344,0.547897,0.928412,0.471358,0.836332,0.675142,0.590071,0.760214,0.960958,0.466232
140,0.581799,0.555902,0.560169,0.551635,0.919425,0.471984,0.836167,0.675564,0.591292,0.759835,0.962212,0.467214
150,0.580744,0.557472,0.563949,0.550994,0.926666,0.467698,0.836145,0.675538,0.590888,0.760188,0.962270,0.465908
160,0.580549,0.556384,0.564650,0.548119,0.927880,0.468941,0.835368,0.675472,0.590008,0.760938,0.961929,0.465564
