Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
10,0.209964,0.438423,0.450924,0.425922,0.944318,0.351559,0.245656,0.461774,0.460843,0.462706,0.944957,0.353213
20,0.362700,0.519830,0.539916,0.499743,0.952132,0.430840,0.538558,0.577863,0.566869,0.588857,0.972801,0.443096
30,0.417358,0.514302,0.539790,0.488814,0.918538,0.442770,0.592373,0.580995,0.561900,0.600090,0.950236,0.445653
40,0.456146,0.564278,0.590070,0.538486,0.931142,0.487746,0.727674,0.637382,0.611652,0.663113,0.958661,0.491854
50,0.494108,0.536809,0.544717,0.528900,0.914607,0.450675,0.739544,0.639010,0.599445,0.678574,0.945312,0.484334
60,0.541911,0.569949,0.590610,0.549288,0.930624,0.489702,0.803606,0.666614,0.622153,0.711076,0.956758,0.497494
70,0.560721,0.587042,0.593436,0.580648,0.942386,0.489354,0.828588,0.681670,0.613000,0.750342,0.972433,0.482442
80,0.567984,0.583612,0.590287,0.576938,0.942848,0.485427,0.830485,0.687737,0.619072,0.756402,0.972762,0.488089
90,0.565156,0.580580,0.583954,0.577207,0.944511,0.477510,0.832416,0.687007,0.615123,0.758892,0.974403,0.483260
100,0.573344,0.586213,0.584977,0.587449,0.944918,0.478740,0.833179,0.688846,0.615202,0.762490,0.973808,0.483530
110,0.572398,0.582798,0.584041,0.581554,0.943988,0.477163,0.832583,0.688170,0.613963,0.762377,0.973283,0.481898
120,0.572983,0.581728,0.582738,0.580719,0.943413,0.476094,0.833086,0.688636,0.614029,0.763243,0.973554,0.481798
130,0.571415,0.581290,0.583184,0.579396,0.942799,0.476101,0.833268,0.688374,0.613548,0.763199,0.973396,0.481661
140,0.569984,0.578724,0.577496,0.579950,0.935469,0.476816,0.833400,0.688632,0.613766,0.763497,0.973879,0.481570
150,0.572288,0.580096,0.582036,0.578156,0.942728,0.475149,0.833045,0.688209,0.612916,0.763502,0.973854,0.480608
160,0.572753,0.577854,0.580943,0.574765,0.942988,0.474318,0.832623,0.688167,0.612970,0.763364,0.973659,0.480457
