Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
10,0.154748,0.232582,0.298946,0.166218,0.314274,0.754263,0.184162,0.264608,0.324136,0.205080,0.349054,0.761213
20,0.304994,0.360432,0.431261,0.289602,0.458948,0.679334,0.499395,0.568158,0.648053,0.488262,0.675549,0.718816
30,0.341013,0.368321,0.441764,0.294877,0.446851,0.740193,0.535429,0.573017,0.650824,0.495210,0.645304,0.785632
40,0.391142,0.394997,0.461277,0.328717,0.469568,0.726068,0.676015,0.669195,0.735823,0.602566,0.736115,0.801081
50,0.399247,0.426888,0.502485,0.351290,0.513809,0.767244,0.679831,0.683397,0.746680,0.620114,0.739768,0.831753
60,0.448072,0.464990,0.542304,0.387677,0.535289,0.767535,0.737547,0.732637,0.790482,0.674792,0.800064,0.820586
70,0.493638,0.475890,0.541738,0.410043,0.539850,0.779232,0.828588,0.777103,0.827328,0.726879,0.840516,0.836880
80,0.481386,0.482940,0.545600,0.420281,0.539867,0.798568,0.830394,0.788648,0.837955,0.739340,0.844336,0.852725
90,0.509782,0.484769,0.547774,0.421764,0.541354,0.784556,0.832416,0.794269,0.844299,0.744239,0.858735,0.848197
100,0.514879,0.487923,0.550554,0.425292,0.544321,0.785529,0.833092,0.797449,0.846400,0.748498,0.856029,0.854350
110,0.514763,0.489273,0.552448,0.426098,0.545806,0.792093,0.832606,0.797683,0.846816,0.748551,0.855435,0.855678
120,0.514748,0.485577,0.547889,0.423264,0.544768,0.795864,0.833087,0.798569,0.847569,0.749568,0.856316,0.856261
130,0.513310,0.491066,0.556944,0.425188,0.550964,0.793146,0.833268,0.798332,0.847138,0.749526,0.855802,0.856160
140,0.512572,0.497904,0.566290,0.429517,0.561505,0.790226,0.833409,0.798646,0.847713,0.749580,0.858732,0.854325
150,0.513952,0.492671,0.557095,0.428247,0.554144,0.789113,0.833045,0.798595,0.847378,0.749813,0.857738,0.854828
160,0.514291,0.495912,0.561566,0.430259,0.557536,0.784205,0.832625,0.798069,0.846886,0.749253,0.857073,0.854489
