Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
10,0.104612,0.269162,0.226004,0.312320,0.948996,0.153456,0.149408,0.279771,0.225805,0.333736,0.952064,0.153797
20,0.198996,0.286999,0.234752,0.339246,0.949381,0.160658,0.280990,0.320335,0.244123,0.396546,0.960676,0.162298
30,0.246294,0.305689,0.239339,0.372039,0.951453,0.163772,0.381803,0.351846,0.252124,0.451568,0.968829,0.164872
40,0.278131,0.318030,0.242338,0.393721,0.949432,0.165167,0.463179,0.368802,0.254148,0.483455,0.970434,0.164812
50,0.341455,0.326206,0.244112,0.408300,0.951088,0.165530,0.551707,0.395320,0.255524,0.535116,0.972830,0.164336
60,0.373538,0.339641,0.248380,0.430902,0.951579,0.168130,0.623160,0.422944,0.258323,0.587564,0.977553,0.165114
70,0.385111,0.346830,0.247458,0.446201,0.951390,0.166822,0.635717,0.432717,0.257710,0.607725,0.981611,0.163514
80,0.396643,0.349082,0.245870,0.452294,0.953488,0.165215,0.652848,0.434909,0.255809,0.614008,0.984094,0.161433
90,0.403776,0.351443,0.246098,0.456787,0.953044,0.165408,0.654306,0.437576,0.255325,0.619828,0.984872,0.160825
100,0.406202,0.349538,0.245639,0.453436,0.953771,0.164774,0.656068,0.437520,0.254864,0.620176,0.985130,0.160386
110,0.400140,0.348994,0.245268,0.452720,0.954479,0.164265,0.654344,0.438495,0.254724,0.622267,0.984878,0.160234
120,0.403329,0.349373,0.245390,0.453357,0.954225,0.164304,0.650980,0.438797,0.254586,0.623008,0.984958,0.160068
130,0.402826,0.350502,0.245379,0.455624,0.955516,0.164030,0.650635,0.438356,0.254292,0.622420,0.984883,0.159829
140,0.400904,0.353103,0.245260,0.460945,0.955344,0.163965,0.652029,0.438892,0.254204,0.623580,0.984544,0.159763
150,0.402241,0.352280,0.245126,0.459433,0.954890,0.163966,0.653990,0.438780,0.254021,0.623540,0.984440,0.159591
160,0.403413,0.351555,0.244913,0.458197,0.954913,0.163756,0.660934,0.438992,0.253804,0.624179,0.984235,0.159427
