Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
5,0.047624,0.416734,0.508155,0.325313,0.872980,0.448778,0.053791,0.455334,0.555292,0.355375,0.876613,0.494503
10,0.089366,0.540710,0.649730,0.431691,0.818472,0.654649,0.138731,0.588298,0.688844,0.487752,0.831130,0.676880
15,0.136101,0.571105,0.691052,0.451158,0.793734,0.715442,0.140916,0.624472,0.731535,0.517408,0.826111,0.741502
20,0.167225,0.602536,0.712899,0.492172,0.798020,0.745828,0.217420,0.686075,0.780170,0.591980,0.857792,0.780205
25,0.183586,0.576866,0.682211,0.471520,0.716969,0.770905,0.223077,0.702061,0.788695,0.615426,0.829570,0.810224
30,0.189364,0.624557,0.722578,0.526535,0.789224,0.748435,0.237843,0.746431,0.815481,0.677381,0.902972,0.781358
35,0.181886,0.546420,0.639678,0.453162,0.690174,0.751415,0.261401,0.744045,0.805136,0.682953,0.901509,0.767483
40,0.173381,0.573712,0.670858,0.476565,0.720042,0.752844,0.252473,0.765134,0.823288,0.706979,0.923853,0.781122
45,0.171377,0.579976,0.674115,0.485836,0.729173,0.766865,0.290430,0.775707,0.823282,0.728130,0.945957,0.755775
50,0.178327,0.575386,0.657393,0.493378,0.721046,0.737937,0.301793,0.789324,0.826598,0.752050,0.949464,0.763943
55,0.188133,0.563208,0.646038,0.480377,0.694483,0.749506,0.318586,0.790244,0.827628,0.752859,0.934151,0.776727
60,0.179274,0.565816,0.648263,0.483369,0.683849,0.759530,0.329843,0.792566,0.829816,0.755317,0.931772,0.781156
65,0.170766,0.558644,0.640780,0.476508,0.672585,0.763271,0.330778,0.793483,0.829707,0.757258,0.929244,0.787048
70,0.179580,0.558167,0.642260,0.474074,0.670588,0.784624,0.332958,0.793936,0.830411,0.757460,0.927428,0.786046
75,0.169147,0.553366,0.631836,0.474896,0.672560,0.762783,0.328793,0.793108,0.829762,0.756455,0.927358,0.785121
80,0.164860,0.557874,0.641884,0.473864,0.675336,0.780093,0.334557,0.793917,0.829826,0.758007,0.926818,0.785511
