Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
10,0.143488,0.285634,0.251947,0.319321,0.947253,0.178324,0.167918,0.288737,0.255157,0.322318,0.951631,0.179252
20,0.230438,0.305933,0.254190,0.357677,0.951290,0.177702,0.337822,0.338445,0.255419,0.421472,0.956678,0.177530
30,0.272528,0.326195,0.269819,0.382571,0.948914,0.189386,0.426443,0.374009,0.278359,0.469658,0.970095,0.186679
40,0.315697,0.345356,0.267469,0.423242,0.952356,0.184281,0.511987,0.391898,0.275390,0.508407,0.974251,0.181042
50,0.347316,0.351602,0.269285,0.433919,0.955694,0.183808,0.568863,0.411300,0.273225,0.549375,0.980236,0.177305
60,0.379450,0.365202,0.275925,0.454480,0.959916,0.188531,0.622483,0.434968,0.280720,0.589216,0.984326,0.181626
70,0.394486,0.367303,0.272020,0.462587,0.960399,0.184856,0.638397,0.440498,0.273586,0.607410,0.985498,0.175367
80,0.393091,0.361210,0.268912,0.453509,0.959984,0.181913,0.646307,0.441652,0.270626,0.612678,0.986807,0.172680
90,0.398545,0.361644,0.267075,0.456212,0.960019,0.180156,0.651641,0.441601,0.268264,0.614936,0.986512,0.170767
100,0.406173,0.363024,0.266364,0.459685,0.960204,0.179471,0.648963,0.441925,0.267319,0.616530,0.986365,0.169963
110,0.403405,0.362919,0.265606,0.460232,0.959632,0.178878,0.645878,0.442077,0.266898,0.617256,0.986994,0.169587
120,0.404080,0.361772,0.264579,0.458963,0.958738,0.178389,0.650403,0.442107,0.266119,0.618094,0.987022,0.168892
130,0.413011,0.361578,0.264102,0.459053,0.958672,0.177968,0.654032,0.441949,0.265578,0.618320,0.987053,0.168456
140,0.408649,0.360863,0.263799,0.457928,0.957899,0.177850,0.654692,0.442035,0.265311,0.618759,0.986868,0.168298
150,0.411303,0.362818,0.264272,0.461364,0.960242,0.177752,0.654662,0.442211,0.265228,0.619194,0.987218,0.168200
160,0.409850,0.360672,0.263436,0.457908,0.958403,0.177521,0.658965,0.442612,0.265176,0.620049,0.987032,0.168111
