Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
10,0.223334,0.366317,0.459560,0.273075,0.915588,0.372529,0.251046,0.391649,0.465210,0.318087,0.913917,0.367860
20,0.364194,0.449914,0.541183,0.358646,0.911245,0.451344,0.558044,0.554202,0.578514,0.529889,0.945968,0.468122
30,0.417407,0.465734,0.543938,0.387530,0.885071,0.460392,0.615011,0.562912,0.565615,0.560208,0.919596,0.464890
40,0.464860,0.497917,0.557704,0.438130,0.864797,0.491865,0.743008,0.628478,0.610275,0.646682,0.920668,0.510871
50,0.472641,0.483237,0.531221,0.435254,0.839094,0.468121,0.720043,0.624437,0.595137,0.653737,0.898893,0.499946
60,0.532573,0.532781,0.586875,0.478687,0.869092,0.520843,0.800191,0.659122,0.623389,0.694853,0.918522,0.517275
70,0.546066,0.538429,0.581689,0.495170,0.883291,0.506019,0.832335,0.683066,0.626190,0.739942,0.942900,0.512455
80,0.560539,0.536805,0.572218,0.501392,0.874546,0.503344,0.834324,0.688994,0.629104,0.748884,0.942091,0.516371
90,0.556711,0.541153,0.576927,0.505380,0.885864,0.498001,0.835375,0.689741,0.628559,0.750923,0.946815,0.513821
100,0.556558,0.534256,0.565878,0.502634,0.875036,0.497842,0.835879,0.692069,0.628935,0.755203,0.944520,0.515523
110,0.556402,0.533889,0.564672,0.503105,0.876362,0.495247,0.835548,0.690624,0.626628,0.754621,0.944500,0.512404
120,0.556093,0.530693,0.565052,0.496334,0.874501,0.495922,0.836111,0.690716,0.626324,0.755107,0.944274,0.512528
130,0.555743,0.530078,0.564939,0.495216,0.873472,0.496314,0.836230,0.691282,0.627201,0.755362,0.944039,0.513737
140,0.557095,0.527095,0.558035,0.496156,0.866206,0.495938,0.836214,0.691519,0.627587,0.755452,0.944897,0.512859
150,0.555786,0.527366,0.562682,0.492049,0.872204,0.493633,0.836097,0.690476,0.626858,0.754094,0.943650,0.513142
160,0.555872,0.527886,0.561138,0.494634,0.873268,0.492717,0.835816,0.690732,0.625486,0.755978,0.944083,0.511075
