Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
5,0.057475,0.377218,0.478122,0.276314,0.900182,0.408510,0.070579,0.398322,0.498975,0.297670,0.914206,0.427392
10,0.122836,0.497799,0.624307,0.371291,0.844809,0.599429,0.191862,0.537106,0.652416,0.421795,0.829435,0.634021
15,0.183699,0.528446,0.656385,0.400506,0.785163,0.669248,0.251356,0.573076,0.696038,0.450113,0.808353,0.698349
20,0.260968,0.558702,0.687284,0.430121,0.812277,0.696303,0.378745,0.642815,0.741259,0.544370,0.842218,0.735134
25,0.299807,0.539903,0.658105,0.421702,0.701877,0.741205,0.427746,0.660594,0.760463,0.560726,0.814676,0.772710
30,0.310220,0.572974,0.684694,0.461256,0.760551,0.713020,0.488441,0.690053,0.773840,0.606265,0.886991,0.732276
35,0.304866,0.503443,0.602610,0.404277,0.682909,0.702209,0.534237,0.691465,0.763130,0.619800,0.883456,0.723004
40,0.312212,0.541990,0.651687,0.432294,0.730197,0.698126,0.553209,0.699752,0.762722,0.636782,0.895836,0.712402
45,0.328759,0.534434,0.631102,0.437766,0.710612,0.705380,0.592888,0.708706,0.762934,0.654478,0.924982,0.691850
50,0.367141,0.534358,0.630479,0.438238,0.714272,0.685930,0.620053,0.716834,0.751335,0.682333,0.926395,0.679010
55,0.372225,0.526987,0.615210,0.438766,0.695902,0.673604,0.635432,0.720511,0.751103,0.689920,0.913329,0.682630
60,0.357336,0.519115,0.601338,0.436892,0.670868,0.676491,0.644754,0.722916,0.748490,0.697340,0.912174,0.681518
65,0.371281,0.516091,0.591492,0.440690,0.656031,0.688756,0.647361,0.721261,0.742777,0.699745,0.907039,0.682064
70,0.359417,0.512884,0.588516,0.437253,0.654136,0.690142,0.648458,0.721951,0.747366,0.696536,0.905224,0.683839
75,0.365178,0.510077,0.583444,0.436711,0.650763,0.675934,0.650540,0.723016,0.747549,0.698483,0.904070,0.683942
80,0.372717,0.512708,0.587819,0.437597,0.657627,0.684196,0.648499,0.722599,0.746183,0.699016,0.904006,0.682532
