Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
5,0.057028,0.381289,0.501495,0.261084,0.817642,0.466312,0.070248,0.407759,0.533552,0.281966,0.786140,0.511834
10,0.122349,0.481560,0.600918,0.362202,0.747112,0.642148,0.191356,0.532155,0.649075,0.415235,0.765158,0.674035
15,0.183485,0.522012,0.651251,0.392773,0.730352,0.701709,0.250440,0.563272,0.688398,0.438146,0.764169,0.728330
20,0.262666,0.541625,0.669126,0.414124,0.735610,0.725479,0.375688,0.620989,0.727674,0.514304,0.797822,0.752262
25,0.297884,0.509004,0.623342,0.394666,0.639971,0.754034,0.421455,0.630396,0.734924,0.525868,0.764372,0.780915
30,0.300569,0.547367,0.652248,0.442486,0.713137,0.709466,0.482130,0.678146,0.766221,0.590070,0.856956,0.740015
35,0.300719,0.467002,0.563548,0.370457,0.612384,0.720872,0.523090,0.674683,0.745985,0.603382,0.850498,0.719989
40,0.307115,0.499898,0.605654,0.394142,0.659771,0.708753,0.552818,0.691877,0.759268,0.624486,0.879457,0.717672
45,0.318456,0.487873,0.586017,0.389728,0.638922,0.722585,0.587263,0.696708,0.755867,0.637548,0.896360,0.694230
50,0.352176,0.493492,0.583236,0.403748,0.643937,0.689787,0.616133,0.712906,0.751066,0.674746,0.906105,0.689283
55,0.357183,0.484639,0.564098,0.405180,0.619915,0.709127,0.628794,0.716700,0.753324,0.680076,0.891276,0.704563
60,0.350469,0.500866,0.582040,0.419692,0.618545,0.712125,0.645650,0.721455,0.755395,0.687515,0.891558,0.704452
65,0.356852,0.488810,0.570076,0.407545,0.603924,0.728931,0.649031,0.723896,0.753770,0.694023,0.890894,0.707906
70,0.349451,0.488595,0.570413,0.406777,0.601905,0.751662,0.641892,0.723157,0.754886,0.691429,0.886953,0.706532
75,0.355287,0.482571,0.559993,0.405150,0.603060,0.738313,0.642608,0.723070,0.755198,0.690940,0.886612,0.707446
80,0.354840,0.485683,0.570492,0.400874,0.605444,0.745700,0.640308,0.721626,0.753619,0.689633,0.882509,0.708230
