Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
5,0.056725,0.369547,0.486736,0.252358,0.777094,0.469728,0.070204,0.395510,0.522277,0.268742,0.737589,0.526347
10,0.121521,0.475052,0.595869,0.354236,0.726954,0.651185,0.191237,0.530248,0.649763,0.410733,0.753276,0.682332
15,0.182156,0.513231,0.645774,0.380687,0.710357,0.710330,0.250459,0.558974,0.684954,0.432994,0.754022,0.734662
20,0.259382,0.534569,0.663206,0.405932,0.721043,0.731137,0.373915,0.610025,0.720040,0.500010,0.775966,0.755917
25,0.296200,0.487271,0.596239,0.378302,0.598448,0.768816,0.421122,0.615322,0.718108,0.512537,0.741779,0.778248
30,0.305107,0.531424,0.639394,0.423455,0.682191,0.722645,0.477493,0.666601,0.755584,0.577618,0.842649,0.736062
35,0.295092,0.458829,0.552621,0.365037,0.607888,0.707964,0.519799,0.666311,0.739715,0.592907,0.839955,0.715997
40,0.306945,0.495379,0.601968,0.388790,0.652910,0.715006,0.553372,0.687832,0.755644,0.620021,0.867913,0.722233
45,0.315245,0.474714,0.573127,0.376303,0.620232,0.727625,0.581709,0.682902,0.746117,0.619686,0.880610,0.691806
50,0.353910,0.484944,0.571362,0.398525,0.630340,0.700344,0.609458,0.702274,0.744781,0.659767,0.887004,0.690675
55,0.351754,0.480907,0.561314,0.400501,0.611184,0.717391,0.627884,0.703626,0.745527,0.661726,0.872113,0.706252
60,0.352081,0.485773,0.565796,0.405749,0.602920,0.730702,0.637897,0.709613,0.747781,0.671444,0.873464,0.706589
65,0.357565,0.472937,0.554542,0.391332,0.585437,0.748567,0.641813,0.717147,0.749429,0.684864,0.876997,0.709750
70,0.348088,0.474058,0.554773,0.393342,0.587183,0.747566,0.641546,0.716143,0.750097,0.682190,0.871892,0.709002
75,0.354711,0.474683,0.555350,0.394015,0.586098,0.748638,0.642657,0.717048,0.752004,0.682092,0.872082,0.712689
80,0.354326,0.473957,0.556614,0.391300,0.592491,0.741397,0.639371,0.717455,0.752133,0.682777,0.871276,0.712175
