Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
5,0.047044,0.410302,0.492110,0.328494,0.919570,0.424022,0.052127,0.448072,0.536013,0.360130,0.933386,0.457936
10,0.086225,0.560588,0.676868,0.444309,0.877160,0.651973,0.136579,0.599067,0.701866,0.496268,0.880343,0.672796
15,0.134196,0.591276,0.712059,0.470492,0.842981,0.705602,0.134910,0.639285,0.745180,0.533390,0.865604,0.734260
20,0.165293,0.628182,0.735886,0.520477,0.871875,0.732430,0.207311,0.705419,0.790163,0.620674,0.898944,0.768307
25,0.175649,0.613086,0.719746,0.506426,0.793123,0.757647,0.206334,0.721064,0.800675,0.641453,0.876674,0.790984
30,0.188563,0.653103,0.747082,0.559124,0.855548,0.747589,0.224507,0.760651,0.821410,0.699892,0.930870,0.774265
35,0.175596,0.598946,0.698169,0.499724,0.785656,0.740710,0.239926,0.757850,0.811613,0.704088,0.929950,0.764318
40,0.166309,0.624018,0.719008,0.529029,0.807602,0.745477,0.232595,0.770288,0.816182,0.724395,0.944979,0.756639
45,0.165757,0.627840,0.703612,0.552067,0.822230,0.725388,0.256716,0.779409,0.812229,0.746589,0.961788,0.735839
50,0.173415,0.642649,0.714749,0.570549,0.821288,0.715057,0.271087,0.788478,0.810064,0.766892,0.962416,0.732763
55,0.179871,0.622289,0.695795,0.548784,0.796358,0.719382,0.286457,0.791573,0.814453,0.768694,0.952988,0.744296
60,0.174556,0.618971,0.685791,0.552151,0.777410,0.710973,0.292793,0.792511,0.815186,0.769836,0.949477,0.750972
65,0.167132,0.613744,0.681555,0.545932,0.764719,0.713711,0.298852,0.793488,0.815146,0.771830,0.947914,0.755598
70,0.171498,0.607004,0.675470,0.538537,0.757422,0.721725,0.297181,0.794286,0.816383,0.772190,0.946568,0.754410
75,0.162766,0.609489,0.677430,0.541548,0.758049,0.713443,0.293918,0.794380,0.816090,0.772669,0.946575,0.753964
80,0.159356,0.609878,0.677329,0.542427,0.758327,0.722980,0.299498,0.795071,0.815926,0.774216,0.946559,0.753837
