Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
10,0.165641,0.282068,0.362159,0.201978,0.427620,0.659238,0.196751,0.321695,0.398009,0.245382,0.463895,0.654112
20,0.333119,0.408321,0.489353,0.327290,0.580390,0.603115,0.510183,0.584112,0.659857,0.508368,0.726846,0.685099
30,0.351216,0.417779,0.498525,0.337033,0.507600,0.709664,0.551902,0.599885,0.675612,0.524158,0.692711,0.755455
40,0.391142,0.420405,0.491278,0.349533,0.523939,0.694564,0.692469,0.676478,0.737740,0.615217,0.766005,0.774444
50,0.446704,0.454814,0.534606,0.375023,0.563942,0.738516,0.697967,0.690513,0.749178,0.631848,0.763326,0.806514
60,0.496721,0.485826,0.562965,0.408686,0.578128,0.747928,0.785595,0.739864,0.793406,0.686322,0.820039,0.803673
70,0.504790,0.512320,0.582054,0.442585,0.596208,0.755485,0.828470,0.779555,0.826548,0.732563,0.856594,0.820784
80,0.525867,0.512601,0.577157,0.448046,0.600416,0.740891,0.830391,0.789846,0.834487,0.745206,0.860316,0.830195
90,0.526889,0.520387,0.585840,0.454935,0.610872,0.743025,0.832416,0.793164,0.837658,0.748671,0.868747,0.825769
100,0.531657,0.527361,0.591692,0.463030,0.619546,0.738446,0.832997,0.794853,0.838046,0.751660,0.864229,0.830119
110,0.531870,0.529567,0.595088,0.464047,0.618554,0.744770,0.832583,0.795113,0.839427,0.750800,0.863207,0.833366
120,0.531599,0.523681,0.587897,0.459464,0.605095,0.758708,0.833087,0.795056,0.838421,0.751691,0.863822,0.831383
130,0.530379,0.530041,0.596967,0.463115,0.620699,0.744906,0.833373,0.795071,0.838482,0.751659,0.864297,0.831066
140,0.529757,0.530411,0.596844,0.463979,0.623392,0.741632,0.833407,0.796103,0.839551,0.752655,0.866896,0.830625
150,0.531241,0.523088,0.586720,0.459456,0.614316,0.742330,0.833045,0.795610,0.838291,0.752929,0.866287,0.829505
160,0.531541,0.525185,0.588108,0.462261,0.616045,0.743231,0.832625,0.796556,0.840350,0.752762,0.866333,0.833050
