Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
5,0.050155,0.323517,0.455452,0.191582,0.905424,0.384082,0.068816,0.347851,0.469148,0.226555,0.901126,0.403284
10,0.115979,0.436735,0.594836,0.278634,0.843236,0.555365,0.194223,0.494121,0.623361,0.364881,0.838926,0.593967
15,0.189764,0.483606,0.635986,0.331226,0.789930,0.634913,0.275336,0.534550,0.659915,0.409186,0.796592,0.663300
20,0.260418,0.512637,0.640324,0.384951,0.773191,0.660424,0.404976,0.612838,0.713438,0.512238,0.835878,0.695968
25,0.309497,0.523788,0.651683,0.395894,0.722547,0.711929,0.454181,0.631645,0.731157,0.532132,0.808002,0.741383
30,0.334201,0.537004,0.647714,0.426294,0.765598,0.677191,0.517068,0.664872,0.751714,0.578030,0.876291,0.712708
35,0.324400,0.491962,0.607920,0.376005,0.698757,0.683421,0.569782,0.672870,0.746662,0.599078,0.877516,0.707158
40,0.332794,0.512656,0.635260,0.390053,0.729266,0.677186,0.586861,0.680291,0.745529,0.615053,0.891946,0.691636
45,0.350516,0.534651,0.636742,0.432560,0.734500,0.681213,0.627748,0.691155,0.747111,0.635200,0.919786,0.676137
50,0.394617,0.541133,0.640961,0.441306,0.732979,0.685104,0.653948,0.701421,0.738069,0.664773,0.921932,0.665156
55,0.396846,0.518186,0.621432,0.414940,0.703639,0.671439,0.658603,0.705729,0.738850,0.672608,0.912852,0.667311
60,0.386027,0.519876,0.609889,0.429864,0.687739,0.668107,0.664066,0.708718,0.736657,0.680778,0.907338,0.670884
65,0.384122,0.513574,0.607538,0.419610,0.667433,0.683636,0.689050,0.709504,0.734342,0.684668,0.909483,0.669205
70,0.382420,0.517190,0.607305,0.427074,0.666714,0.697889,0.673887,0.708466,0.735592,0.681339,0.906882,0.667868
75,0.397976,0.519670,0.609869,0.429471,0.668838,0.686668,0.673074,0.709341,0.735601,0.683081,0.905487,0.668814
80,0.400898,0.520004,0.612560,0.427448,0.673601,0.695592,0.670905,0.709425,0.733663,0.685187,0.904534,0.666870
