Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
5,0.047408,0.409912,0.492184,0.327641,0.927424,0.418475,0.052403,0.445123,0.528097,0.362150,0.936194,0.448904
10,0.089854,0.557290,0.670525,0.444054,0.877628,0.641199,0.138530,0.596286,0.695920,0.496652,0.887318,0.660759
15,0.136200,0.592486,0.710514,0.474459,0.846263,0.700118,0.139919,0.634915,0.740822,0.529008,0.866853,0.727306
20,0.167606,0.628971,0.736016,0.521926,0.874618,0.728390,0.217899,0.701909,0.787394,0.616425,0.902144,0.762061
25,0.185692,0.612953,0.718641,0.507266,0.794170,0.755365,0.223217,0.718646,0.799648,0.637644,0.877528,0.788997
30,0.190967,0.653488,0.748554,0.558422,0.859721,0.747430,0.237304,0.757185,0.819750,0.694621,0.930293,0.772178
35,0.185271,0.597460,0.696503,0.498418,0.784357,0.740126,0.256097,0.753255,0.809040,0.697470,0.928555,0.761567
40,0.173415,0.622687,0.723761,0.521613,0.811592,0.747236,0.253983,0.765596,0.813714,0.717478,0.945365,0.752909
45,0.172380,0.626884,0.703742,0.550026,0.821438,0.725780,0.289773,0.772950,0.807385,0.738516,0.960894,0.730296
50,0.181774,0.640424,0.713106,0.567741,0.819907,0.714338,0.304158,0.780084,0.801235,0.758933,0.961440,0.721810
55,0.187898,0.620542,0.694992,0.546093,0.795656,0.718708,0.320341,0.781220,0.803638,0.758802,0.951861,0.730613
60,0.183276,0.616082,0.683976,0.548187,0.776338,0.709202,0.328023,0.781585,0.803018,0.760153,0.948347,0.734952
65,0.173766,0.608816,0.680159,0.537474,0.764027,0.711778,0.334701,0.782281,0.802274,0.762289,0.946848,0.738619
70,0.171559,0.603642,0.672525,0.534758,0.757056,0.719314,0.335197,0.782703,0.803223,0.762182,0.944976,0.737286
75,0.172521,0.606776,0.675495,0.538057,0.757279,0.712217,0.327898,0.782332,0.802908,0.761755,0.944735,0.737063
80,0.171785,0.607542,0.675847,0.539236,0.757690,0.722013,0.331364,0.782910,0.802908,0.762912,0.944787,0.737086
