Epoch, mAP-Test, F-MABO-Ave-Test, FScore-Test, MABO-Test, Recall-Test, Precision-Test, mAP-Train, F-MABO-Ave-Train, FScore-Train, MABO-Train, Recall-Train, Precision-Train
5,0.047169,0.409606,0.493856,0.325357,0.898576,0.423662,0.052144,0.444644,0.529436,0.359852,0.909845,0.456613
10,0.089715,0.539662,0.645060,0.434264,0.833500,0.640762,0.138705,0.589844,0.689106,0.490581,0.856308,0.664008
15,0.135870,0.576865,0.692394,0.461337,0.809123,0.705746,0.140211,0.626874,0.732963,0.520785,0.838207,0.733059
20,0.167204,0.609385,0.715543,0.503227,0.813009,0.740262,0.217186,0.694462,0.784916,0.604007,0.874735,0.773984
25,0.185157,0.588876,0.693742,0.484008,0.740164,0.772980,0.222284,0.715046,0.802251,0.627841,0.851482,0.809048
30,0.190308,0.631286,0.727200,0.535372,0.799096,0.748529,0.237812,0.752396,0.820479,0.684313,0.913773,0.783740
35,0.183036,0.550298,0.641618,0.458978,0.698258,0.742338,0.256786,0.748612,0.809472,0.687752,0.907784,0.767737
40,0.173635,0.585521,0.686761,0.484279,0.748215,0.745691,0.252419,0.767905,0.823635,0.712176,0.927944,0.779746
45,0.168728,0.591597,0.681375,0.501819,0.746268,0.760970,0.286688,0.778067,0.824220,0.731916,0.951807,0.754293
50,0.179329,0.595632,0.673320,0.517942,0.745010,0.718605,0.299113,0.790126,0.826144,0.754107,0.953268,0.761269
55,0.188240,0.577427,0.655708,0.499146,0.718303,0.748298,0.319906,0.791710,0.827860,0.755559,0.940956,0.772320
60,0.183641,0.572031,0.646624,0.497438,0.703623,0.746780,0.327526,0.792397,0.827637,0.757156,0.936028,0.771992
65,0.171231,0.567746,0.648909,0.486584,0.687412,0.759194,0.329850,0.793401,0.827223,0.759580,0.932756,0.777943
70,0.181366,0.568418,0.649970,0.486866,0.687004,0.760095,0.335377,0.793472,0.827429,0.759515,0.930590,0.776400
75,0.174737,0.564856,0.639125,0.490586,0.685794,0.739271,0.326263,0.792904,0.827108,0.758699,0.930525,0.776050
80,0.165650,0.568914,0.648328,0.489500,0.686442,0.760501,0.330855,0.793730,0.827478,0.759980,0.930796,0.776432
